interest,IgName,IgLevel1,IgLevel2,x,y
6003191950698,Metal Gear,Local Business,News and entertainment,1489960,None
6002934553259,Nakodar,City,"Travel, places and events",1028220,None
6003247753275,Bird migration,Animal,Hobbies and activities,9576020,None
6002913486321,Jack Skellington,empty,News and entertainment,2369580,None
6003721694544,Husayn ibn Ali,Public Figure,People,6744540,None
6003254445288,Irish language,Local Business,Lifestyle and culture,3442520,None
6003268305536,Angela Lansbury,Producer,People,409290,None
6003372552995,Cuautitlán,Region,"Travel, places and events",782720,None
6003088879592,Loredana Groza,Artist,People,1616280,None
6003429865069,Mr. Price,Local Business,Business and industry,965960,None
6003198311767,Regensburg,City,"Travel, places and events",842380,None
6003300604538,Pistoia,Public & Government Service,"Travel, places and events",496090,None
6003478358965,Oceana (non-profit group),empty,Business and industry,1474430,None
6005999958725,Salman bin Abdulaziz Al Saud,Politician,People,5121010,None
6002989788594,Resident Evil 4,Video Game,News and entertainment,2708200,None
6003227526499,Brembo,Local Business,Business and industry,4560390,None
6003515079042,Cafe Rio,empty,Food and drink,629510,None
6003157508484,International Brazilian Jiu-Jitsu Federation,Local Business,Sports and outdoors,3347430,None
6003423543991,Anheuser-Busch InBev,Local Business,Food and drink,969560,None
6002958269050,MAXXI,Art Gallery,Lifestyle and culture,915580,None
6003287379497,Fogo de Chão,empty,Business and industry,1180830,None
6003019866729,Black Beauty,Local Business,News and entertainment,941510,None
6003500185825,Evidence (law),Local Business,"Travel, places and events",917510,None
6012636533154,Industry 4.0,Local Business,News and entertainment,1147360,None
6003157423884,Bridgewater Hall,Performance & Event Venue,Lifestyle and culture,36550,None
6003346684781,Blinkers (horse tack),Outdoor & Sporting Goods Company,Sports and outdoors,2622190,None
6003666925518,Tring,City,"Travel, places and events",667940,None
6003153751626,Fuji (apple),Japanese Restaurant,Food and drink,646630,None
6003283082327,Supercalifragilisticexpialidocious,Local Business,News and entertainment,117490,None
6003291835138,People's Representative Council,Local Business,Business and industry,587330,None
6003349565157,Plastic Ono Band,Local Business,News and entertainment,358540,None
6003088058782,Lee Evans (comedian),Athlete,People,397830,None
6003704189118,Melissa McBride,Film Director,People,308520,None
6003460200825,Buddharupa,empty,Lifestyle and culture,989570,None
6003184604152,National Treasure (film),empty,News and entertainment,198810,None
6003290429725,"Junction City, Kansas",City,"Travel, places and events",2760630,None
6003259504157,BET Gospel,empty,News and entertainment,312430,None
6003779200452,Flat panel display,empty,Technology,3704660,None
6015512951452,Wella Professionals,Hair Salon,Fitness and wellness,3664360,None
6003238737861,The Footy Show (rugby league),TV Show,News and entertainment,597100,None
6003138135990,Detroit Lions,Sports Team,Sports and outdoors,6538820,None
6003353060557,Foo Fighters (album),Local Business,News and entertainment,4211960,None
6003161393778,Atal Bihari Vajpayee,Political Ideology,People,2333240,None
6003286992497,Dan Povenmire,Author,People,702090,None
6004081738348,Tactical pants,empty,Shopping and fashion,1399970,None
6003243439213,Mydin,Local Business,Business and industry,2150620,None
6003061534881,Kia Motors Philippines,Motor Vehicle Company,Hobbies and activities,841290,None
