group1,group2,meandiff,p-adj,lower,upper,reject
AD,NC,27.7992,0.0011,4.0828,51.5157,True
AD,NE,-13.1907,1.0,-37.9964,11.6151,False
AD,NF,157.4666,0.0,52.3283,262.6049,True
AD,NG,-5.5509,1.0,-30.9536,19.8519,False
AD,NI,-7.2821,1.0,-68.2974,53.7333,False
AD,NL,-1.3829,1.0,-26.4832,23.7174,False
AD,NO,1.831,1.0,-20.8094,24.4714,False
AD,NP,-13.8378,1.0,-36.9815,9.3058,False
AD,NR,5.026,1.0,-21.5427,31.5947,False
AD,NU,90.6511,0.0376,1.3338,179.9684,True
AD,NZ,16.6958,0.9321,-6.1177,39.5093,False
AD,OM,9.4403,1.0,-25.8835,44.7642,False
AD,PA,-8.1061,1.0,-31.8425,15.6303,False
AD,PE,-3.3583,1.0,-27.0451,20.3284,False
AD,PF,5.5757,1.0,-24.4717,35.6231,False
AD,PG,1.4543,1.0,-22.7653,25.6739,False
AD,PH,13.435,1.0,-10.0416,36.9117,False
AD,PK,50.356,0.0,14.9507,85.7612,True
AD,PL,8.158,1.0,-24.444,40.7601,False
AD,PM,73.915,0.0008,11.6607,136.1694,True
AD,PR,4.8474,1.0,-18.0186,27.7134,False
AD,PS,-9.6091,1.0,-34.3745,15.1564,False
AD,PT,5.699,1.0,-16.8115,28.2096,False
AD,PW,17.6088,0.97,-7.2926,42.5103,False
AD,PY,4.5856,1.0,-123.6248,132.796,False
AD,QA,51.7622,-0.0,29.0795,74.4449,True
AD,RE,11.0138,1.0,-49.412,71.4396,False
AD,RO,18.3213,1.0,-55.8174,92.46,False
AD,RS,17.4309,0.8167,-5.1472,40.009,False
AD,RW,-33.4235,0.0001,-59.6182,-7.2287,True
AD,SA,50.9242,-0.0,27.8136,74.0347,True
AD,SB,-32.0947,0.0001,-57.7067,-6.4827,True
AD,SC,15.0685,0.9996,-9.094,39.2309,False
AD,SE,8.0188,1.0,-66.1199,82.1575,False
AD,SG,7.6238,1.0,-63.3468,78.5944,False
AD,SH,52.38,0.9999,-34.9583,139.7183,False
AD,SI,22.696,1.0,-64.6424,110.0343,False
AD,SJ,31.43,0.1344,-1.8932,64.7531,False
AD,SK,20.4022,0.5445,-4.1051,44.9095,False
AD,SL,-67.3869,0.9988,-172.5252,37.7514,False
AD,SM,-18.2094,0.9356,-43.1527,6.7338,False
AD,SN,21.3482,0.887,-7.0961,49.7925,False
AD,SO,-13.5909,1.0,-38.5764,11.3945,False
AD,SR,-1.8059,1.0,-25.4827,21.871,False
AD,SS,-0.8675,1.0,-81.4808,79.7458,False
AD,ST,-33.1138,1.0,-122.4311,56.2035,False
AD,SV,-11.3725,1.0,-34.1637,11.4188,False
AD,SX,-25.1721,0.0234,-49.4032,-0.9409,True
AD,SZ,3.2871,1.0,-20.582,27.1563,False
AD,TC,18.7143,0.9407,-7.0149,44.4435,False
AD,TD,37.3203,0.0,12.6862,61.9545,True
AD,TG,-11.1162,1.0,-80.2025,57.9701,False
AD,TH,23.7328,0.0456,0.1144,47.3512,True
AD,TJ,-8.2015,1.0,-31.7436,15.3405,False
AD,TL,-8.144,1.0,-83.4449,67.1568,False
AD,TM,-5.4869,1.0,-30.7965,19.8227,False
AD,TN,19.4901,0.5323,-3.8508,42.8311,False
AD,TO,19.5155,1.0,-44.765,83.7959,False
AD,TR,13.671,1.0,-10.1056,37.4477,False
AD,TT,18.4329,1.0,-33.8507,70.7165,False
AD,TV,-104.1469,-0.0,-132.1626,-76.1312,True
AD,TZ,10.7207,1.0,-12.4987,33.94,False
AD,UA,-4.1647,1.0,-27.0006,18.6711,False
AD,UG,-5.9202,1.0,-29.5386,17.6982,False
AD,US,15.7358,1.0,-71.6025,103.0741,False
AD,UY,29.5134,0.0,6.7221,52.3047,True
AD,UZ,-14.8762,1.0,-55.1405,25.388,False
AD,VC,-2.3324,1.0,-26.1601,21.4954,False
AD,VE,-6.1633,1.0,-29.0597,16.7332,False
AD,VG,15.9679,0.9989,-8.9893,40.9252,False
AD,VI,9.5071,1.0,-14.3829,33.3971,False
AD,VN,28.5131,0.0005,4.8753,52.1509,True
AD,VU,-46.7957,0.0,-80.7771,-12.8142,True
AD,WF,-58.5005,-0.0,-85.8473,-31.1537,True
AD,WS,7.3662,1.0,-16.9232,31.6556,False
AD,YE,-4.7637,1.0,-96.2084,86.6811,False
AD,YT,3.7184,1.0,-20.8139,28.2507,False
AD,ZA,4.5026,1.0,-19.483,28.4882,False
AD,ZM,-18.8503,1.0,-87.0533,49.3528,False
AD,ZW,1.4299,1.0,-21.764,24.6238,False
AE,AF,-45.9074,0.0,-69.0854,-22.7295,True
AE,AG,-33.0373,0.0,-55.5293,-10.5453,True
AE,AI,-14.346,1.0,-38.5637,9.8717,False
AE,AL,-36.456,1.0,-135.105,62.1931,False
AE,AM,-25.346,0.0032,-47.7966,-2.8954,True
AE,AO,-40.4764,0.0,-65.8085,-15.1443,True
AE,AQ,-275.792,-0.0,-312.4613,-239.1228,True
AE,AR,-25.6012,0.0009,-47.3058,-3.8967,True
AE,AS,-69.7815,-0.0,-92.9846,-46.5784,True
AE,AT,-23.6285,0.0055,-44.9975,-2.2596,True
AE,AU,-14.1809,0.9988,-36.2699,7.9082,False
AE,AW,-16.4928,1.0,-45.2841,12.2986,False
AE,AZ,-32.4534,0.0,-54.4691,-10.4377,True
AE,BA,-12.5154,1.0,-34.4417,9.4108,False
AE,BB,-15.3062,0.9852,-37.5083,6.896,False
AE,BD,-34.0663,0.0,-55.4575,-12.6751,True
AE,BE,-28.701,0.0142,-55.7055,-1.6966,True
AE,BF,-28.1062,0.0288,-55.4331,-0.7793,True
AE,BG,-12.9673,1.0,-35.2178,9.2831,False
AE,BH,-2.8998,1.0,-23.5348,17.7352,False
AE,BI,-50.3374,-0.0,-72.8086,-27.8662,True
AE,BJ,-28.3371,0.0001,-50.7264,-5.9478,True
AE,BL,-35.8961,0.0125,-69.4824,-2.3097,True
AE,BM,-9.6439,1.0,-32.4403,13.1524,False
AE,BN,-34.9327,0.0,-57.1831,-12.6822,True
AE,BO,-27.1176,0.0001,-48.7894,-5.4459,True
AE,BQ,4.7796,1.0,-12.0223,21.5816,False
AE,BR,-39.779,0.0,-61.7856,-17.7723,True
AE,BS,-5.5033,1.0,-62.7588,51.7522,False
AE,BT,-68.843,0.5006,-150.6437,12.9576,False
AE,BW,-61.0151,0.217,-127.9564,5.9262,False
AE,BY,-47.6494,-0.0,-69.5405,-25.7582,True
AE,BZ,-42.4989,0.0,-64.5328,-20.4651,True
AE,CA,-26.6089,0.0004,-48.5088,-4.7091,True
AE,CD,-41.9359,0.9909,-103.7417,19.87,False
AE,CF,-69.3443,-0.0,-93.9332,-44.7554,True
AE,CG,-29.5768,0.0,-52.1213,-7.0324,True
AE,CH,-23.7573,0.9997,-61.8931,14.3785,False
AE,CI,-16.6065,0.8581,-38.4543,5.2412,False
AE,CK,-68.1854,-0.0,-92.6187,-43.7522,True
AE,CL,-27.1645,0.3331,-58.0679,3.7389,False
AE,CM,-41.1499,0.9999,-108.9438,26.644,False
AE,CN,-28.4159,0.0001,-50.775,-6.0568,True
AE,CO,-38.349,0.0,-59.9482,-16.7498,True
AE,CR,-38.9873,0.9994,-100.7932,22.8186,False
AE,CV,-41.32,0.9999,-110.0024,27.3624,False
AE,CW,-24.2965,0.0148,-47.1963,-1.3967,True
AE,CY,-23.1367,0.0089,-44.4689,-1.8045,True
AE,CZ,-6.932,1.0,-98.072,84.208,False
AE,DE,-26.653,0.0004,-48.696,-4.61,True
AE,DJ,-21.0697,0.214,-44.1608,2.0214,False
AE,DK,-35.5748,0.0,-57.5455,-13.6041,True
AE,DM,-37.2351,0.0,-60.8226,-13.6475,True
AE,DO,-44.5109,-0.0,-66.2485,-22.7732,True
AE,DZ,-39.9672,0.0,-62.047,-17.8874,True
AE,EC,-21.8198,1.0,-108.839,65.1994,False
AE,EE,-19.8678,0.1803,-41.365,1.6295,False
AE,EG,-22.4036,1.0,-93.9936,49.1865,False
AE,ER,-62.0291,-0.0,-90.0949,-33.9634,True
AE,ES,-28.6699,0.0,-46.7946,-10.5451,True
AE,ET,-29.3499,0.0001,-52.1804,-6.5195,True
AE,FI,-40.5432,0.0002,-73.0858,-8.0006,True
AE,FJ,-40.7987,0.9867,-100.187,18.5896,False
AE,FK,-66.5881,-0.0,-92.8481,-40.3282,True
AE,FM,-82.7524,0.4031,-178.6889,13.1841,False
AE,FO,-17.3014,1.0,-69.4127,34.8099,False
AE,FR,-25.1154,0.0013,-46.6593,-3.5715,True
AE,GA,-22.303,0.0499,-44.6024,-0.0036,True
AE,GB,-31.5794,0.0,-53.577,-9.5818,True
AE,GD,-87.4114,0.0,-152.7461,-22.0767,True
AE,GE,-37.1592,0.0014,-69.075,-5.2435,True
AE,GF,-32.1649,0.0064,-61.4355,-2.8944,True
AE,GG,-10.1709,1.0,-33.4505,13.1087,False
AE,GH,-27.6258,0.0001,-49.1775,-6.074,True
AE,GI,-80.6625,0.0073,-154.425,-6.9,True
AE,GL,-46.3644,-0.0,-68.4535,-24.2754,True
AE,GM,-3.9392,1.0,-26.9215,19.0431,False
AE,GN,-34.7355,0.0,-57.0946,-12.3764,True
AE,GP,-16.7927,0.8884,-39.182,5.5966,False
AE,GQ,-87.5022,-0.0,-111.4992,-63.5053,True
AE,GR,-16.081,0.8572,-37.2292,5.0671,False
AE,GT,-28.8479,0.0,-50.2094,-7.4863,True
AE,GU,-24.6107,0.0033,-46.4327,-2.7887,True
AE,GW,-29.6129,0.0004,-54.0632,-5.1626,True
AE,GY,-26.8318,0.0003,-48.6623,-5.0012,True
AE,HN,-24.067,1.0,-82.3569,34.2228,False
AE,HR,-14.5649,0.9927,-36.1721,7.0422,False
AE,HT,-30.4511,0.0,-52.1228,-8.7794,True
AE,HU,-23.5603,0.0094,-45.3398,-1.7807,True
AE,ID,-30.3486,0.0,-53.0553,-7.6418,True
AE,IE,-21.9429,0.0418,-43.6806,-0.2053,True
AE,IL,-18.5244,0.9899,-45.7319,8.6831,False
AE,IM,-40.6947,0.9985,-103.8367,22.4473,False
AE,IN,-1.225,1.0,-65.8016,63.3516,False
AE,IQ,-2.7454,1.0,-43.1832,37.6925,False
AE,IS,-29.4573,0.0,-51.3747,-7.5399,True
AE,IT,-31.9715,0.0,-53.6843,-10.2587,True
AE,JE,-26.2885,0.0015,-48.9403,-3.6366,True
AE,JM,-47.47,-0.0,-69.4948,-25.4453,True
AE,JO,-17.6778,0.604,-39.2295,3.874,False
AE,JP,-31.0685,0.0,-53.4276,-8.7094,True
AE,KE,-31.3757,0.0,-53.5114,-9.24,True
AE,KG,-28.8711,0.4698,-62.915,5.1727,False
AE,KH,-20.5161,1.0,-64.6634,23.6312,False
AE,KI,-50.7236,0.003,-95.5079,-5.9394,True
AE,KM,-56.695,-0.0,-80.6766,-32.7134,True
AE,KN,-20.695,0.2692,-43.7984,2.4083,False
AE,KR,-24.1874,0.9782,-58.798,10.4232,False
AE,KW,15.62,0.9338,-5.749,36.9889,False
AE,KY,-8.6274,1.0,-30.6431,13.3883,False
AE,KZ,-39.334,0.0,-61.2164,-17.4516,True
AE,LA,-34.8429,0.0,-56.3946,-13.2911,True
AE,LB,-19.8535,0.1885,-41.4053,1.6982,False
AE,LC,-39.8476,0.0,-62.6213,-17.0739,True
AE,LI,-14.546,0.9999,-38.4069,9.3149,False
AE,LK,-33.8703,1.0,-114.1378,46.3972,False
