iabCat,masculinity,interest,IgName,IgLevel1,IgLevel2,PinkMin,PinkAvg,PinkMax
Travel,-2015.0,6003568148903,Antigua Guatemala,City,"Travel, places and events",1.6445870488182415,17.983351618656567,11.225416163017611
Society,-2016.0,6003290657111,LGBT culture,empty,empty,1.737587897107808,9.027797746588217,9.61490180782165
Science,-2017.0,6002992763120,Class (biology),empty,Hobbies and activities,4.251268207930905,11.83852414606449,12.60412165130921
Sports,-2018.0,6003058484844,Dancesport,Local Business,Sports and outdoors,6.691653243050679,16.150903914604587,31.055031102580543
Careers,-2019.0,6003024214956,Profession,empty,Business and industry,-5.673420635244584,15.340814887540674,8.228248511896554
Arts & Entertainment,-2020.0,6003385950963,Brad Pitt,empty,People,9.81877520115895,8.870017890084764,10.216277351782235
Science,-2021.0,6002893729879,Invasive species,empty,Hobbies and activities,2.87566130571836,11.310827466980147,11.172690389183531
Law Government & Politics,-2022.0,6002919604479,Member states of the Arab League,empty,"Travel, places and events",3.10709463768445,12.074862306470475,13.13282794010377
Health & Fitness,-2023.0,6003283123727,Blood plasma,empty,empty,4.257487976556615,23.352131279084347,23.96310699479934
Style & Fashion,-2024.0,6003199856482,Brown (Color),empty,Hobbies and activities,3.8810395887713343,14.178489269427832,14.479205698276806
Education,-2025.0,6002950854850,Walter Riso,Writer,People,66.12365868411749,28.40496525634061,30.770765099272772
Law Government & Politics,-2026.0,6003326073206,Jaime Nebot,Politician,People,2.8301239825543574,12.952671213409277,13.818461913591193
Health & Fitness,-2027.0,6003495068827,Yogi,Local Business,Lifestyle and culture,3.161176634887968,12.07811446996815,12.049857432344512
Arts & Entertainment,-2028.0,6003451440471,Jane Austen,Public Figure,People,4.391774765683514,0.7940930152046006,2.786059812075338
Law Government & Politics,-2029.0,6003282983927,José de San Martín,Politician,People,0.7027371308990181,24.884345058811366,23.68066583373963
Food & Drink,-2030.0,6003416630877,Mela,empty,Lifestyle and culture,2.4994214358868905,3.6369159618234757,3.1987444153153173
Arts & Entertainment,-2031.0,6003463397154,The Eye (2008 film),Local Business,News and entertainment,3.99423034619025,7.022005845458352,8.361781779383016
Health & Fitness,-2032.0,6003146021426,Sweat gland,empty,Fitness and wellness,3.2677304957565614,13.843631258528323,14.481387678118379
Law Government & Politics,-2033.0,6002869263310,María Corina Machado,Politician,People,4.552343765783238,16.118572493938768,14.736069411394705
Health & Fitness,-2034.0,6003251661486,Cholesterol,empty,Hobbies and activities,4.778663114699263,32.88540622207221,32.98671965605987
Science,-2035.0,6003472575663,Chemistry,empty,Business and industry,-1.5574641800227365,12.366145853812075,11.000770923163055
Arts & Entertainment,-2036.0,6003347724581,Emo (music),empty,News and entertainment,-2.060917119520738,61.96875674342207,46.38587347302318
Arts & Entertainment,-2038.0,6003433150537,Viacom Media Networks,empty,Business and industry,0.4379969420343768,47.25647817923861,39.864464822315234
Travel,-2039.0,6003077210339,Delhi,empty,"Travel, places and events",-1.5348714341076024,20.238869858678886,21.074425130456973
Arts & Entertainment,-2040.0,6003353496251,Once upon a time,empty,Lifestyle and culture,-1.3621575945157696,34.55837450622286,31.711681789416303
Law Government & Politics,-2041.0,6003170107885,Saad Hariri,Local Business,People,3.5400415650492203,5.3936181805719645,5.1400524050621765
Arts & Entertainment,-2042.0,6002981907321,Peppa Pig,TV Show,News and entertainment,6.141680766385395,9.026374566934418,9.754486791761739
Family & Parenting,-2043.0,6003288112051,Boyfriend,empty,People,6.744437709787014,3.119319558536195,3.2072210852237077
Arts & Entertainment,-2044.0,6003372589795,Germany's Next Topmodel,TV Show,News and entertainment,11.038852036249489,37.394744790007216,31.010276101547163
Religion & Spirituality,-2045.0,6003320162759,Mysticism,empty,News and entertainment,-1.638312690736469,14.453692298839151,15.65791724784914
Travel,-2046.0,6006393994990,Trivago,empty,"Travel, places and events",-1.1891093453105936,3.3387156389024564,6.038366029951638
Arts & Entertainment,-2047.0,6003347287274,Cem Yılmaz,Comedian,People,-0.9331493079616748,73.49826982252492,57.55103605212537
Travel,-2048.0,6003714264753,Travel photography,empty,Business and industry,8.242252332081433,8.48376007228255,9.053979674516615
Health & Fitness,-2049.0,6003270863248,Yoga Journal,Local Business,Fitness and wellness,6.406929803323825,28.614149788610387,29.275353745266113
Arts & Entertainment,-2050.0,6010613779751,Fatin Shidqia,Public Figure,People,14.07333719557545,10.102806818367373,14.335612090550985
Shopping,-2051.0,6003187431255,Clarins,Health/Beauty,Business and industry,13.201537839725438,33.63169731152454,34.60933202850054
Style & Fashion,-2052.0,6003281800054,Foundation garment,empty,Shopping and fashion,40.97938159834685,18.285666335769594,17.81323223371543
Family & Parenting,-2053.0,6003315663163,Marriage vows,empty,News and entertainment,1.9502747116101071,27.667777547882267,24.537878751511276
Law Government & Politics,-2055.0,6003109990942,Christopher Columbus,Public Figure,People,0.22489835706500538,13.423924529359123,12.837142870805733
Home & Garden,-2056.0,6003097976717,Peony,empty,Hobbies and activities,5.860915603966544,11.203557726527025,10.924489214365831
Arts & Entertainment,-2057.0,6003590203151,Mario Casas,Artist,People,8.139622677215442,13.686327950115867,12.992505754225466
Business,-2058.0,6002967500174,Interbank,Local Business,Business and industry,32.71805506461659,36.50814680361078,29.05160682796377
Style & Fashion,-2059.0,418035635016596,Ombré,Hair Salon,empty,1.564488105293562,6.756032528389748,8.261613800345511
Society,-2060.0,6003143446668,Nobility,empty,Lifestyle and culture,3.455476846728798,13.865286784164292,13.965342300498406
Style & Fashion,-2061.0,6003279716876,Vogue Italia,Magazine,News and entertainment,3.4977592058890092,13.004346200033122,12.718867609922464
Business,-2062.0,6003402855039,Oil,empty,Food and drink,2.9673167547745587,13.236573617181218,12.376757711884261
Science,-2063.0,6003013489681,Magdalena Department,Government Organization,"Travel, places and events",3.9251848153363618,14.158949267616498,14.711518104886778
Arts & Entertainment,-2064.0,381540458699086,POPxo,Local Business,empty,15.865025237632985,12.15635242041043,10.429451673102928
Arts & Entertainment,-2065.0,6003174900049,Ivete Sangalo,empty,People,11.181995112416455,19.735276622264834,16.750371312562226
Travel,-2066.0,6003468086725,Dubai,empty,"Travel, places and events",12.267878909039563,27.173981628231058,26.87290328448813
Arts & Entertainment,-2067.0,6003229978545,Prince Royce,empty,People,1.1962050585484905,25.877732053974828,27.440509959760135
Travel,-2068.0,6004217306706,Tuscany,empty,empty,2.0657357691463574,22.305011436307385,22.895847177687052
News,-2069.0,6003331731037,Rede Globo,empty,News and entertainment,-4.372599794719184,6.096941737247254,4.420829239261161
Food & Drink,-2070.0,6003409361877,Cherry,empty,Food and drink,1.017137449739774,16.169098173704707,15.0605222940851
Food & Drink,-2071.0,6003285531511,French fries,empty,Food and drink,-4.062995786553647,11.714383590077661,13.818851201658545
Arts & Entertainment,-2072.0,6003371297140,Junaid Jamshed,Public Figure,People,13.353890576121831,10.026862803953351,10.158740755079286
Automotive,-2073.0,6003164363358,Cencosud,Local Business,Business and industry,7.463316709959115,8.899312680370489,9.808383417541659
Arts & Entertainment,-2074.0,6003190822561,Oasis (band),empty,News and entertainment,4.000864766904877,26.20375120544928,27.28217900762698
Style & Fashion,-2075.0,6003255445655,Bobbi Brown,empty,People,-6.401464494627348,12.285235003532048,10.09606848977747
Technology & Computing,-2076.0,6003734280753,Communication,empty,Hobbies and activities,-3.4127429468254444,15.074099374676955,13.695005744291457
Arts & Entertainment,-2077.0,6003266103514,Teen Choice Awards,TV Show,News and entertainment,-1.9023573696416,23.068280750348077,13.484761331692631
News,-2078.0,6020890144309,La Patilla,Website,Business and industry,6.548859812120039,23.768926655784703,24.403231792840984
Food & Drink,-2079.0,6003674086262,Carrot,empty,Food and drink,5.478200456003409,13.99075954303643,12.48586758576027
Arts & Entertainment,-2080.0,6002934561459,E!,empty,News and entertainment,16.97776611897609,23.60675818936906,24.15361841989353
Home & Garden,-2081.0,6004212242224,Paper bag,Local Business,empty,1.8545304310997643,6.052102522097273,3.5790604014327863
Food & Drink,-2082.0,6003337016359,Tea (meal),empty,Food and drink,7.627774754926667,23.745579013285322,22.25714069362378
Law Government & Politics,-2083.0,6003498525425,UNICEF,empty,Business and industry,1.366388701536802,8.72617656350769,8.838706482285378
Travel,-2084.0,6003163927722,Tulum,City,"Travel, places and events",10.04479731486483,39.70111347528623,36.883211016539555
Food & Drink,-2085.0,6003374633674,Muffin,empty,Food and drink,2.113627966709234,3.278295289956147,3.796471029267071
